"species","longitude","latitude"
"Papilio",126.6458333,36.64583333
"Papilio",126.6458333,36.6875
"Papilio",126.6458333,36.72916667
"Papilio",126.6875,33.35416667
"Papilio",126.6875,33.39583333
"Papilio",126.6875,34.52083333
"Papilio",126.6875,34.5625
"Papilio",126.6875,34.60416667
"Papilio",126.6875,35.0625
"Papilio",126.6875,35.10416667
"Papilio",126.6875,35.1875
"Papilio",126.6875,35.3125
"Papilio",126.6875,35.5625
"Papilio",126.6875,35.64583333
"Papilio",126.6875,35.97916667
"Papilio",126.6875,36.0625
"Papilio",126.6875,36.1875
"Papilio",126.6875,36.3125
"Papilio",126.6875,36.4375
"Papilio",126.6875,36.72916667
"Papilio",126.6875,36.77083333
"Papilio",126.6875,37.1875
"Papilio",126.6875,37.22916667
"Papilio",126.6875,37.72916667
"Papilio",126.7291667,33.4375
"Papilio",126.7291667,33.47916667
"Papilio",126.7291667,34.8125
"Papilio",126.7291667,34.89583333
"Papilio",126.7291667,35.0625
"Papilio",126.7291667,35.3125
"Papilio",126.7291667,35.39583333
"Papilio",126.7291667,35.5625
"Papilio",126.7291667,35.72916667
"Papilio",126.7291667,36.52083333
"Papilio",126.7291667,36.5625
"Papilio",126.7291667,36.9375
"Papilio",126.7291667,37.5625
"Papilio",126.7291667,37.77083333
"Papilio",126.7291667,37.85416667
"Papilio",126.7291667,37.89583333
"Papilio",126.7291667,37.9375
"Papilio",126.7708333,33.35416667
"Papilio",126.7708333,33.47916667
"Papilio",126.7708333,34.72916667
"Papilio",126.7708333,34.77083333
"Papilio",126.7708333,35.1875
"Papilio",126.7708333,35.4375
"Papilio",126.7708333,35.47916667
"Papilio",126.7708333,35.60416667
"Papilio",126.7708333,36.3125
"Papilio",126.7708333,36.60416667
"Papilio",126.7708333,36.8125
"Papilio",126.7708333,36.89583333
"Papilio",126.7708333,37.4375
"Papilio",126.7708333,37.6875
"Papilio",126.8125,33.39583333
"Papilio",126.8125,33.47916667
"Papilio",126.8125,34.6875
"Papilio",126.8125,34.72916667
"Papilio",126.8125,34.8125
"Papilio",126.8125,34.9375
"Papilio",126.8125,35.64583333
"Papilio",126.8125,35.85416667
"Papilio",126.8125,35.97916667
"Papilio",126.8125,36.1875
"Papilio",126.8125,36.3125
"Papilio",126.8125,36.4375
"Papilio",126.8125,36.52083333
"Papilio",126.8125,36.5625
"Papilio",126.8125,37.1875
"Papilio",126.8125,37.39583333
"Papilio",126.8125,37.52083333
"Papilio",126.8125,37.5625
"Papilio",126.8125,37.72916667
"Papilio",126.8541667,34.52083333
"Papilio",126.8541667,34.72916667
"Papilio",126.8541667,34.8125
"Papilio",126.8541667,35.0625
"Papilio",126.8541667,35.39583333
"Papilio",126.8541667,36.10416667
"Papilio",126.8541667,36.27083333
"Papilio",126.8541667,36.3125
"Papilio",126.8541667,36.39583333
"Papilio",126.8541667,36.4375
"Papilio",126.8541667,36.64583333
"Papilio",126.8541667,36.6875
"Papilio",126.8541667,37.35416667
"Papilio",126.8541667,37.64583333
"Papilio",126.8541667,37.72916667
"Papilio",126.8541667,37.85416667
"Papilio",126.8541667,37.89583333
"Papilio",126.8541667,38.02083333
"Papilio",126.8958333,33.4375
"Papilio",126.8958333,33.47916667
"Papilio",126.8958333,34.5625
"Papilio",126.8958333,34.85416667
"Papilio",126.8958333,35.47916667
"Papilio",126.8958333,36.0625
"Papilio",126.8958333,36.39583333
"Papilio",126.8958333,36.4375
"Papilio",126.8958333,36.5625
"Papilio",126.8958333,37.35416667
"Papilio",126.8958333,37.47916667
"Papilio",126.8958333,37.72916667
"Papilio",126.8958333,38.0625
"Papilio",126.9375,33.4375
"Papilio",126.9375,33.47916667
"Papilio",126.9375,34.5625
"Papilio",126.9375,34.64583333
"Papilio",126.9375,35.0625
"Papilio",126.9375,35.1875
"Papilio",126.9375,35.3125
"Papilio",126.9375,35.4375
"Papilio",126.9375,35.5625
"Papilio",126.9375,35.6875
"Papilio",126.9375,35.77083333
"Papilio",126.9375,35.97916667
"Papilio",126.9375,36.1875
"Papilio",126.9375,36.27083333
"Papilio",126.9375,36.3125
"Papilio",126.9375,36.5625
"Papilio",126.9375,36.6875
"Papilio",126.9375,36.8125
"Papilio",126.9375,37.0625
"Papilio",126.9375,37.35416667
"Papilio",126.9375,37.4375
"Papilio",126.9375,37.5625
"Papilio",126.9375,37.60416667
"Papilio",126.9375,37.6875
"Papilio",126.9375,37.72916667
"Papilio",126.9375,37.77083333
"Papilio",126.9375,37.85416667
"Papilio",126.9375,37.9375
"Papilio",126.9375,38.0625
"Papilio",126.9791667,33.47916667
"Papilio",126.9791667,35.0625
"Papilio",126.9791667,35.1875
"Papilio",126.9791667,35.39583333
"Papilio",126.9791667,35.6875
"Papilio",126.9791667,36.02083333
"Papilio",126.9791667,36.60416667
"Papilio",126.9791667,36.77083333
"Papilio",126.9791667,37.52083333
"Papilio",126.9791667,37.5625
"Papilio",126.9791667,37.9375
"Papilio",126.9791667,38.0625
"Papilio",126.9791667,38.14583333
"Papilio",127.0208333,35.35416667
"Papilio",127.0208333,35.6875
"Papilio",127.0208333,36.02083333
"Papilio",127.0208333,36.5625
"Papilio",127.0208333,36.64583333
"Papilio",127.0208333,36.6875
"Papilio",127.0208333,36.8125
"Papilio",127.0208333,36.85416667
"Papilio",127.0208333,36.89583333
"Papilio",127.0208333,37.1875
"Papilio",127.0208333,37.52083333
"Papilio",127.0208333,37.6875
"Papilio",127.0208333,37.77083333
"Papilio",127.0208333,38.0625
"Papilio",127.0625,34.6875
"Papilio",127.0625,34.8125
"Papilio",127.0625,34.9375
"Papilio",127.0625,35.0625
"Papilio",127.0625,35.1875
"Papilio",127.0625,35.3125
"Papilio",127.0625,35.4375
"Papilio",127.0625,35.77083333
"Papilio",127.0625,35.8125
"Papilio",127.0625,36.02083333
"Papilio",127.0625,36.4375
"Papilio",127.0625,36.5625
"Papilio",127.0625,36.6875
"Papilio",127.0625,37.3125
"Papilio",127.0625,37.52083333
"Papilio",127.0625,37.64583333
"Papilio",127.0625,37.6875
"Papilio",127.0625,37.89583333
"Papilio",127.0625,37.97916667
"Papilio",127.0625,38.02083333
"Papilio",127.0625,38.0625
"Papilio",127.0625,38.10416667
"Papilio",127.0625,38.14583333
"Papilio",127.1041667,34.77083333
"Papilio",127.1041667,34.9375
"Papilio",127.1041667,35.10416667
